D0: var=i, block=B8, line=i = 0;
D1: var=j, block=B11, line=j = 0;
D2: var=i, block=B18, line=i = 0;
D3: var=j, block=B21, line=j = 0;
D4: var=i, block=B28, line=i = 0;
D5: var=j, block=B31, line=j = 0;
D6: var=i, block=B42, line=i = 0;
D7: var=j, block=B45, line=j = 0;
D8: var=i, block=B58, line=i = 0;
D9: var=j, block=B61, line=j = 0;
D10: var=i, block=B68, line=i = 0;
D11: var=j, block=B71, line=j = 0;
D12: var=i, block=B78, line=i = 0;
D13: var=j, block=B81, line=j = 0;
D14: var=k, block=B84, line=k = 0;
D15: var=i, block=B93, line=i = 0;
D16: var=j, block=B96, line=j = 0;
D17: var=i, block=B106, line=i = 0;
D18: var=j, block=B109, line=j = 0;
D19: var=i, block=B116, line=i = 0;
D20: var=j, block=B119, line=j = 0;
D21: var=i, block=B126, line=i = 0;
D22: var=j, block=B129, line=j = 0;
